Év,Használt lakás,Új lakás,Összesen
2007,184767.0,6403.0,191170.0
2008,139999.0,14098.0,154097.0
2009,82876.0,8261.0,91137.0
2010,85486.0,4785.0,90271.0
2011,83862.0,3868.0,87730.0
2012,83323.0,2634.0,85957.0
2013,86418.0,2295.0,88713.0
2014,110480.0,3309.0,113789.0
2015,130732.0,3369.0,134101.0
2016,141442.0,4860.0,146302.0
2017,147673.0,6097.0,153770.0
2018,154599.0,9096.0,163695.0
2019,145786.0,11233.0,157019.0
2020,124955.0,9032.0,133987.0
2021,148728.0,11950.0,160678.0
2022,127749.0,10273.0,138022.0
2023,96057.0,5786.0,101843.0
